
                                                                                                                                    
 ▄▄▄▄▄▄▄ ▄▄▄   ▄▄▄  ▄▄▄▄▄▄▄       ▄▄▄▄▄▄▄                ▄▄              ▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄    ▄▄▄▄▄▄▄   ▄▄▄▄   ▄▄▄      ▄▄▄ 
███▀▀▀▀▀ ███   ███ ███▀▀▀▀▀       ███▀▀███▄       ▀▀     ██             █████▀▀▀ ▀▀▀███▀▀▀ ███▀▀███▄ ███▀▀▀▀▀ ▄██▀▀██▄ ████▄  ▄████ 
███▄▄    █████████ ███▄▄          ███▄▄███▀  ▀▀█▄ ██  ▄████ ▄█▀█▄ ████▄  ▀████▄     ███    ███▄▄███▀ ███▄▄    ███  ███ ███▀████▀███ 
███▀▀    ███▀▀▀███ ███      ▀▀▀▀▀ ███▀▀██▄  ▄█▀██ ██  ██ ██ ██▄█▀ ██ ▀▀    ▀████    ███    ███▀▀██▄  ███      ███▀▀███ ███  ▀▀  ███ 
███      ███   ███ ▀███████       ███  ▀███ ▀█▄██ ██▄ ▀████ ▀█▄▄▄ ██    ███████▀    ███    ███  ▀███ ▀███████ ███  ███ ███      ███ 
                                                                                                                                    
                                                                                                                                    

Running without Marker API. Activate Marker API with -m on commandline.
2026-07-27T17:01:08-05:00
Running ./build/fhe_raiderstream
Run on (256 X 400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x256)
  L1 Instruction 32 KiB (x256)
  L2 Unified 1024 KiB (x256)
  L3 Unified 16384 KiB (x32)
Load Average: 0.11, 0.06, 1.30
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
------------------------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations UserCounters...
------------------------------------------------------------------------------------------------------------
CTFixture/CT_SEQ_ADD/131072/40/0                         183 ms          154 ms            9 ObjectToPayloadRatio=0.700048 PayloadBandwidth=419.015G/s RSSDeg1BytesPerCt=85.1737M RSSDeg2BytesPerCt=349.412M SerializedBandwidth=293.331G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=390.238Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0                         166 ms          157 ms            9 ObjectToPayloadRatio=0.700048 PayloadBandwidth=411.649G/s RSSDeg1BytesPerCt=85.1154M RSSDeg2BytesPerCt=349.414M SerializedBandwidth=288.174G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=383.378Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0                         170 ms          163 ms            9 ObjectToPayloadRatio=0.700048 PayloadBandwidth=395.719G/s RSSDeg1BytesPerCt=82.8751M RSSDeg2BytesPerCt=356.113M SerializedBandwidth=277.022G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=368.542Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0                         176 ms          121 ms            9 ObjectToPayloadRatio=0.700048 PayloadBandwidth=534.304G/s RSSDeg1BytesPerCt=85.334M RSSDeg2BytesPerCt=348.554M SerializedBandwidth=374.039G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=497.609Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0                         185 ms          156 ms            9 ObjectToPayloadRatio=0.700048 PayloadBandwidth=414.074G/s RSSDeg1BytesPerCt=85.6344M RSSDeg2BytesPerCt=347.755M SerializedBandwidth=289.872G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=385.636Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0_mean                    176 ms          150 ms            5 ObjectToPayloadRatio=0.700048 PayloadBandwidth=434.952G/s RSSDeg1BytesPerCt=84.8265M RSSDeg2BytesPerCt=350.25M SerializedBandwidth=304.487G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=405.081Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0_median                  176 ms          156 ms            5 ObjectToPayloadRatio=0.700048 PayloadBandwidth=414.074G/s RSSDeg1BytesPerCt=85.1737M RSSDeg2BytesPerCt=349.412M SerializedBandwidth=289.872G/s SerializedBytesPerCt=58.7243M SerializedDeg2BytesPerCt=88.087M bytes_per_second=385.636Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0_stddev                 8.11 ms         16.7 ms            5 ObjectToPayloadRatio=8.33n PayloadBandwidth=56.2205G/s RSSDeg1BytesPerCt=1.10931M RSSDeg2BytesPerCt=3.34966M SerializedBandwidth=39.357G/s SerializedBytesPerCt=0 SerializedDeg2BytesPerCt=1.11803 bytes_per_second=52.3594Gi/s
CTFixture/CT_SEQ_ADD/131072/40/0_cv                     4.61 %         11.15 %             5 ObjectToPayloadRatio=0.00% PayloadBandwidth=12.93% RSSDeg1BytesPerCt=1.31% RSSDeg2BytesPerCt=0.96% SerializedBandwidth=12.93% SerializedBytesPerCt=0.00% SerializedDeg2BytesPerCt=0.00% bytes_per_second=12.93%
